posture,segment,rating,pct_MANTENER,pct_REESTRUCTURAR,pct_VENDER,n_loans,total_EAD,mean_EAD,total_RWA,total_EL,mean_PD,mean_LGD,mean_DPD,total_EVA_post,total_capital_lib
prudencial,SME,BBB,80.0,0.0,20.0,25,11286833.0,451473.32,16930249.5,1835882.5680000004,0.41,0.4000000000000001,206.56,2234393.127592791,781292.9618562507
prudencial,SME,CCC,100.0,0.0,0.0,6,4801790.0,800298.3333333334,7202685.0,1361399.7940908873,0.49166666666666664,0.5858798101609938,278.1666666666667,951743.2847557988,332387.7239356448
balanceado,Corporate,A,0.0,58.82352941176471,41.17647058823529,17,148303813.0,8723753.705882354,222455719.5,24178645.304,0.3905882352941176,0.4,183.0,29436773.83673581,10265831.461610667
balanceado,Corporate,AA,0.0,57.14285714285714,42.857142857142854,7,35324815.0,5046402.142857143,52987222.5,5731403.58,0.41000000000000003,0.39999999999999997,310.7142857142857,7010872.935347475,2445241.2238556296
balanceado,Corporate,AAA,0.0,83.33333333333334,16.666666666666664,6,42448067.0,7074677.833333333,63672100.5,6351966.92,0.3833333333333333,0.39999999999999997,261.5,8425218.956783392,2938324.3281354983
balanceado,Corporate,B,5.0,55.00000000000001,40.0,20,93312065.0,4665603.25,139968097.5,19198522.873649787,0.45,0.46374302973041026,217.45,18217213.799470447,6482272.029278213
balanceado,Corporate,BB,0.0,56.75675675675676,43.24324324324324,37,273070201.0,7380275.702702703,409605301.5,46344185.7213102,0.4289189189189189,0.40021673018101955,187.13513513513513,53397689.26676637,18904429.049751054
balanceado,Corporate,BBB,0.0,43.58974358974359,56.41025641025641,39,226770552.0,5814629.538461538,340155828.0,37412865.91200001,0.4117948717948718,0.4000000000000001,190.6153846153846,43615956.65115306,15736207.96464208
balanceado,Corporate,CCC,37.5,31.25,31.25,16,90738466.0,5671154.125,136107699.0,25758473.33021408,0.46875,0.5835943799028367,201.9375,17426588.794662602,6282717.062419972
balanceado,Large Corporate,A,0.0,30.76923076923077,69.23076923076923,13,343141210.0,26395477.692307692,514711815.0,55336242.8,0.40846153846153843,0.4000000000000001,261.2307692307692,61469697.75500794,23997435.63524233
balanceado,Large Corporate,AA,0.0,0.0,100.0,3,57224298.0,19074766.0,85836447.0,8717023.092,0.37666666666666665,0.4000000000000001,190.33333333333334,11359321.513862383,3961159.102342058
balanceado,Large Corporate,AAA,0.0,0.0,100.0,2,49857261.0,24928630.5,74785891.5,7977161.760000002,0.4,0.4,227.0,9228187.253604759,3452922.0216246415
balanceado,Large Corporate,B,8.333333333333332,37.5,54.166666666666664,24,516492206.0,21520508.583333332,774738309.0,105968724.30374612,0.44875,0.4577289889241332,180.875,97217319.7481871,36125284.612823516
balanceado,Large Corporate,BB,0.0,32.142857142857146,67.85714285714286,28,675216878.0,24114888.5,1012825317.0,116122921.99200001,0.4367857142857143,0.4000000000000001,209.32142857142858,120993867.47999302,47082517.2814628
balanceado,Large Corporate,BBB,0.0,35.714285714285715,64.28571428571429,28,607908326.0,21711011.64285714,911862489.0,99008763.41600001,0.4060714285714285,0.4000000000000001,198.28571428571428,105303153.50649199,42534846.5301793
balanceado,Large Corporate,CCC,47.368421052631575,36.84210526315789,15.789473684210526,19,449743244.0,23670697.05263158,674614866.0,125652720.22418965,0.4736842105263157,0.581964184854642,199.3684210526316,87350363.97759072,31397281.39905001
balanceado,MidCap,A,0.0,57.14285714285714,42.857142857142854,7,18833583.0,2690511.8571428573,28250374.5,3186935.164,0.4057142857142857,0.39999999999999997,306.42857142857144,3737061.260598825,1303691.2873997102
balanceado,MidCap,AA,0.0,83.33333333333334,16.666666666666664,6,12237407.0,2039567.8333333333,18356110.5,1868604.428,0.38499999999999995,0.39999999999999997,244.66666666666666,2427849.4813032066,847093.2422292785
balanceado,MidCap,AAA,0.0,50.0,50.0,4,10490774.0,2622693.5,15736161.0,1629193.6,0.375,0.4,233.25,1920933.4568766686,726601.9222680235
balanceado,MidCap,B,8.0,68.0,24.0,25,42021154.0,1680846.16,63031731.0,8962316.057823496,0.44799999999999995,0.4794701061331038,170.48,8335718.905072255,2908772.7150102807
balanceado,MidCap,BB,0.0,61.904761904761905,38.095238095238095,21,36493179.0,1737770.4285714286,54739768.5,6284862.836000001,0.4290476190476191,0.4000000000000001,210.0952380952381,7239314.594015308,2526117.282718751
balanceado,MidCap,BBB,0.0,73.07692307692307,26.923076923076923,26,62520279.0,2404626.1153846155,93780418.5,10234168.244,0.41884615384615387,0.4000000000000001,232.96153846153845,12404920.765819244,4327755.532131037
balanceado,MidCap,CCC,42.857142857142854,42.857142857142854,14.285714285714285,7,14188422.0,2026917.4285714286,21282633.0,3951274.9258971373,0.47857142857142854,0.5837468399538975,219.57142857142858,2814911.7017344763,982145.6779281123
balanceado,Mortgage,A,80.0,0.0,20.0,5,2429647.0,485929.4,2429647.0,396581.836,0.42000000000000004,0.4,285.4,-328942.481,0.0
balanceado,Mortgage,AA,75.0,0.0,25.0,4,1234064.0,308516.0,1234064.0,199359.776,0.41000000000000003,0.4,301.5,-166877.936,0.0
balanceado,Mortgage,AAA,100.0,0.0,0.0,1,417780.0,417780.0,417780.0,58489.2,0.35,0.4,172.0,-60160.32000000001,0.0
balanceado,Mortgage,B,100.0,0.0,0.0,11,3292562.0,299323.8181818182,3292562.0,658080.395070902,0.4345454545454545,0.46523233608260006,152.63636363636363,-424850.379535451,0.0
balanceado,Mortgage,BB,100.0,0.0,0.0,8,5233037.0,654129.625,5233037.0,925151.108,0.43499999999999994,0.4,222.875,-662527.4010000001,0.0
balanceado,Mortgage,BBB,84.61538461538461,0.0,15.384615384615385,13,3810503.0,293115.6153846154,3810503.0,670525.7679999999,0.4323076923076922,0.4000000000000001,273.2307692307692,-499237.273,0.0
balanceado,Mortgage,CCC,100.0,0.0,0.0,3,884685.0,294895.0,884685.0,232347.05796503572,0.4666666666666666,0.559188425267445,165.33333333333334,-111068.99398251786,0.0
balanceado,Project Finance,A,0.0,50.0,50.0,2,7919489.0,3959744.5,11879233.5,1258316.172,0.395,0.4,174.5,852595.8544414804,551368.8103267222
balanceado,Project Finance,AA,0.0,0.0,100.0,1,9014165.0,9014165.0,13521247.5,1298039.76,0.36,0.4,114.0,59738.1322815271,669039.4216935375
balanceado,Project Finance,B,25.0,25.0,50.0,4,53792097.0,13448024.25,80688145.5,11658776.205098653,0.45499999999999996,0.47277677736893486,216.0,3948088.7092194054,3823874.0845129164
balanceado,Project Finance,BB,0.0,28.57142857142857,71.42857142857143,7,48840264.0,6977180.571428572,73260396.0,8291749.436000001,0.4242857142857143,0.39999999999999997,185.28571428571428,2752324.820914453,3450365.8149420116
balanceado,Project Finance,BBB,0.0,40.0,60.0,5,72762341.0,14552468.2,109143511.5,12263034.696,0.43999999999999995,0.4,265.8,1006155.3515338774,5131396.087340983
balanceado,Project Finance,CCC,100.0,0.0,0.0,2,24031780.0,12015890.0,36047670.0,5945370.079376223,0.45,0.5443647903620124,133.5,2875927.9583177953,1714325.555398021
balanceado,SME,A,0.0,66.66666666666666,33.33333333333333,9,4692615.0,521401.6666666667,7038922.5,738813.6,0.4033333333333333,0.4,270.1111111111111,929320.0471681334,324830.45263459376
balanceado,SME,AA,0.0,100.0,0.0,3,945303.0,315101.0,1417954.5,136123.63199999998,0.36000000000000004,0.4000000000000001,123.66666666666667,186909.9636446156,65435.413168742685
balanceado,SME,AAA,0.0,100.0,0.0,2,290084.0,145042.0,435126.0,41347.53999999999,0.375,0.4,188.0,57086.98839830688,20080.08690720493
balanceado,SME,B,0.0,86.36363636363636,13.636363636363635,22,10141577.0,460980.7727272727,15212365.5,2239644.4780556154,0.4572727272727272,0.4840690773482665,205.04545454545453,2007788.8302485817,702016.4763865321
balanceado,SME,BB,0.0,83.33333333333334,16.666666666666664,12,4669846.0,389153.8333333333,7004769.0,815247.6487761678,0.43916666666666665,0.40021962704598124,221.75,924049.9835353652,323254.3453732827
balanceado,SME,BBB,0.0,76.0,24.0,25,11286833.0,451473.32,16930249.5,1835882.5680000004,0.41,0.4000000000000001,206.56,2234393.127592791,781292.9618562507
balanceado,SME,CCC,0.0,66.66666666666666,33.33333333333333,6,4801790.0,800298.3333333334,7202685.0,1361399.7940908873,0.49166666666666664,0.5858798101609938,278.1666666666667,951743.2847557988,332387.7239356448
desinversion,Corporate,A,5.88235294117647,0.0,94.11764705882352,17,148303813.0,8723753.705882354,222455719.5,24178645.304,0.3905882352941176,0.4,183.0,0.0,23357850.5475
desinversion,Corporate,AA,0.0,0.0,100.0,7,35324815.0,5046402.142857143,52987222.5,5731403.58,0.41000000000000003,0.39999999999999997,310.7142857142857,0.0,5563658.362500001
desinversion,Corporate,AAA,0.0,0.0,100.0,6,42448067.0,7074677.833333333,63672100.5,6351966.92,0.3833333333333333,0.39999999999999997,261.5,0.0,6685570.552499999
desinversion,Corporate,B,0.0,0.0,100.0,20,93312065.0,4665603.25,139968097.5,19198522.873649787,0.45,0.46374302973041026,217.45,0.0,14696650.237500003
desinversion,Corporate,BB,0.0,0.0,100.0,37,273070201.0,7380275.702702703,409605301.5,46344185.7213102,0.4289189189189189,0.40021673018101955,187.13513513513513,0.0,43008556.6575
desinversion,Corporate,BBB,0.0,0.0,100.0,39,226770552.0,5814629.538461538,340155828.0,37412865.91200001,0.4117948717948718,0.4000000000000001,190.6153846153846,0.0,35716361.94
desinversion,Corporate,CCC,37.5,0.0,62.5,16,90738466.0,5671154.125,136107699.0,25758473.33021408,0.46875,0.5835943799028367,201.9375,0.0,14291308.395
desinversion,Large Corporate,A,0.0,0.0,100.0,13,343141210.0,26395477.692307692,514711815.0,55336242.8,0.40846153846153843,0.4000000000000001,261.2307692307692,0.0,54044740.575
desinversion,Large Corporate,AA,0.0,0.0,100.0,3,57224298.0,19074766.0,85836447.0,8717023.092,0.37666666666666665,0.4000000000000001,190.33333333333334,0.0,9012826.934999999
desinversion,Large Corporate,AAA,0.0,0.0,100.0,2,49857261.0,24928630.5,74785891.5,7977161.760000002,0.4,0.4,227.0,0.0,7852518.6075
desinversion,Large Corporate,B,0.0,0.0,100.0,24,516492206.0,21520508.583333332,774738309.0,105968724.30374612,0.44875,0.4577289889241332,180.875,0.0,81347522.445
desinversion,Large Corporate,BB,0.0,0.0,100.0,28,675216878.0,24114888.5,1012825317.0,116122921.99200001,0.4367857142857143,0.4000000000000001,209.32142857142858,0.0,106346658.28500003
desinversion,Large Corporate,BBB,0.0,0.0,100.0,28,607908326.0,21711011.64285714,911862489.0,99008763.41600001,0.4060714285714285,0.4000000000000001,198.28571428571428,0.0,95745561.345
desinversion,Large Corporate,CCC,26.31578947368421,0.0,73.68421052631578,19,449743244.0,23670697.05263158,674614866.0,125652720.22418965,0.4736842105263157,0.581964184854642,199.3684210526316,0.0,70834560.93
desinversion,MidCap,A,0.0,0.0,100.0,7,18833583.0,2690511.8571428573,28250374.5,3186935.164,0.4057142857142857,0.39999999999999997,306.42857142857144,0.0,2966289.3225
desinversion,MidCap,AA,0.0,0.0,100.0,6,12237407.0,2039567.8333333333,18356110.5,1868604.428,0.38499999999999995,0.39999999999999997,244.66666666666666,0.0,1927391.6025
desinversion,MidCap,AAA,0.0,0.0,100.0,4,10490774.0,2622693.5,15736161.0,1629193.6,0.375,0.4,233.25,0.0,1652296.9050000003
desinversion,MidCap,B,0.0,0.0,100.0,25,42021154.0,1680846.16,63031731.0,8962316.057823496,0.44799999999999995,0.4794701061331038,170.48,0.0,6618331.755
desinversion,MidCap,BB,0.0,0.0,100.0,21,36493179.0,1737770.4285714286,54739768.5,6284862.836000001,0.4290476190476191,0.4000000000000001,210.0952380952381,0.0,5747675.692500001
